"R", "G", "B", "RG", "RB", "GB", "RGB"
0, 0, 141, 0, 68, 61, 5
0, 0, 140, 0, 67, 64, 6
0, 0, 130, 0, 70, 68, 5
0, 0, 132, 0, 73, 69, 6
0, 0, 123, 0, 78, 67, 4
0, 0, 129, 0, 68, 71, 5
0, 0, 131, 0, 69, 72, 5
0, 0, 126, 0, 69, 69, 3
0, 0, 134, 0, 71, 67, 3
0, 0, 133, 0, 71, 67, 4
0, 0, 123, 0, 73, 69, 5
0, 0, 133, 0, 73, 69, 2
0, 0, 131, 0, 73, 68, 4
0, 0, 130, 0, 72, 69, 3
0, 0, 139, 0, 71, 65, 4
0, 0, 124, 0, 73, 74, 3
0, 0, 139, 0, 71, 68, 4
0, 0, 140, 0, 66, 67, 4
0, 0, 133, 0, 69, 70, 4
0, 0, 128, 0, 73, 75, 4
0, 0, 140, 0, 72, 74, 3
0, 0, 127, 0, 75, 70, 4
0, 0, 138, 0, 75, 70, 2
0, 0, 136, 0, 78, 68, 2
0, 0, 135, 0, 69, 69, 6
0, 0, 131, 0, 74, 66, 7
0, 0, 125, 0, 78, 71, 5
0, 0, 136, 0, 79, 64, 5
0, 0, 137, 0, 77, 63, 4
0, 0, 135, 0, 80, 70, 3
0, 0, 142, 0, 73, 65, 6
0, 0, 124, 0, 84, 68, 6
0, 0, 131, 0, 85, 70, 3
0, 0, 126, 0, 85, 65, 4
0, 0, 125, 0, 86, 68, 3
0, 0, 131, 0, 85, 63, 4
0, 0, 130, 0, 84, 62, 4
0, 0, 127, 0, 84, 61, 5
0, 0, 136, 0, 79, 62, 6
0, 0, 136, 0, 80, 61, 6
0, 0, 129, 0, 83, 63, 4
0, 0, 131, 0, 87, 60, 5
0, 0, 132, 0, 81, 61, 6
0, 0, 136, 0, 79, 59, 5
0, 0, 144, 0, 86, 56, 4
0, 0, 133, 0, 91, 58, 5
0, 0, 138, 0, 86, 57, 3
0, 0, 136, 0, 88, 50, 5
0, 0, 135, 0, 90, 51, 4
0, 0, 133, 0, 88, 54, 4
0, 0, 139, 0, 88, 56, 3
0, 0, 128, 0, 98, 50, 5
0, 0, 139, 0, 87, 54, 6
0, 0, 140, 0, 94, 54, 4
0, 0, 132, 0, 94, 53, 3
0, 0, 130, 0, 95, 54, 3
0, 0, 139, 0, 96, 50, 2
0, 0, 134, 0, 97, 52, 4
0, 0, 137, 0, 89, 51, 6
0, 0, 138, 0, 90, 52, 5
0, 0, 135, 0, 91, 51, 4
0, 0, 147, 0, 93, 46, 3
0, 0, 140, 0, 95, 49, 2
0, 0, 150, 0, 93, 47, 2
0, 0, 141, 0, 95, 49, 2
0, 0, 150, 0, 92, 50, 1
0, 0, 150, 0, 97, 48, 1
0, 0, 147, 0, 94, 42, 3
0, 0, 147, 0, 91, 44, 2
0, 0, 152, 0, 100, 41, 3
0, 0, 147, 0, 90, 43, 3
0, 0, 142, 0, 100, 42, 4
0, 0, 156, 0, 98, 39, 2
0, 0, 147, 0, 96, 40, 3
0, 0, 156, 0, 99, 36, 3
0, 0, 154, 0, 99, 35, 4
0, 0, 159, 0, 98, 39, 2
0, 0, 155, 0, 102, 39, 2
0, 0, 158, 0, 99, 36, 2
0, 0, 139, 0, 106, 41, 3
0, 0, 155, 0, 99, 39, 3
0, 0, 151, 0, 102, 38, 2
0, 0, 154, 0, 99, 34, 4
0, 0, 155, 0, 104, 35, 2
0, 0, 158, 0, 102, 32, 2
0, 0, 155, 0, 102, 31, 2
0, 0, 157, 0, 110, 32, 2
0, 0, 149, 0, 113, 31, 0
0, 0, 155, 0, 109, 31, 1
0, 0, 143, 0, 106, 31, 2
0, 0, 158, 0, 108, 32, 2
0, 0, 148, 0, 116, 31, 1
0, 0, 154, 0, 114, 28, 2
0, 0, 147, 0, 115, 32, 1
0, 0, 145, 0, 114, 31, 2
0, 0, 156, 0, 113, 27, 2
0, 0, 147, 0, 107, 28, 4
0, 0, 146, 0, 109, 29, 4
0, 0, 139, 0, 117, 29, 4
0, 0, 146, 0, 106, 33, 4
0, 0, 143, 0, 113, 30, 1
0, 0, 149, 0, 109, 29, 2
0, 0, 145, 0, 117, 30, 3
0, 0, 139, 0, 113, 30, 2
0, 0, 149, 0, 107, 28, 2
0, 0, 142, 0, 116, 33, 2
0, 0, 151, 0, 113, 30, 0
0, 0, 149, 0, 117, 26, 4
0, 0, 150, 0, 116, 27, 1
0, 0, 153, 0, 113, 26, 2
0, 0, 137, 0, 118, 31, 2
0, 0, 145, 0, 117, 31, 2
0, 0, 140, 0, 118, 26, 3
0, 0, 154, 0, 108, 28, 3
0, 0, 153, 0, 111, 25, 3
0, 0, 158, 0, 110, 27, 3
0, 0, 141, 0, 113, 30, 2
0, 0, 143, 0, 117, 27, 1
0, 0, 143, 0, 126, 28, 0
0, 0, 151, 0, 114, 28, 3
0, 0, 149, 0, 116, 31, 1
0, 0, 153, 0, 111, 26, 3
0, 0, 159, 0, 107, 25, 3
0, 0, 135, 0, 118, 30, 0
0, 0, 147, 0, 117, 32, 0
0, 0, 130, 0, 117, 32, 3
0, 0, 155, 0, 114, 31, 1
0, 0, 149, 0, 114, 31, 1
0, 0, 138, 0, 115, 31, 2
0, 0, 143, 0, 118, 29, 0
0, 0, 141, 0, 116, 32, 3
0, 0, 140, 0, 118, 34, 1
0, 0, 133, 0, 116, 31, 2
0, 0, 135, 0, 120, 31, 2
0, 0, 136, 0, 116, 30, 3
0, 0, 133, 0, 120, 33, 3
0, 0, 143, 0, 117, 30, 3
0, 0, 149, 0, 114, 33, 2
0, 0, 140, 0, 119, 33, 3
0, 0, 140, 0, 122, 32, 1
0, 0, 136, 0, 125, 30, 1
0, 0, 132, 0, 122, 31, 2
0, 0, 141, 0, 123, 30, 2
0, 0, 137, 0, 124, 28, 1
0, 0, 141, 0, 122, 29, 0
0, 0, 138, 0, 117, 29, 0
0, 0, 137, 0, 123, 30, 3
0, 0, 136, 0, 123, 32, 1
0, 0, 130, 0, 121, 29, 2
0, 0, 137, 0, 116, 30, 2
0, 0, 135, 0, 125, 31, 2
0, 0, 119, 0, 128, 28, 2
0, 0, 129, 0, 124, 30, 2
0, 0, 135, 0, 120, 32, 0
0, 0, 136, 0, 113, 31, 1
0, 0, 135, 0, 121, 33, 3
0, 0, 129, 0, 120, 30, 3
0, 0, 122, 0, 119, 32, 3
0, 0, 140, 0, 112, 31, 2
0, 0, 136, 0, 116, 34, 1
0, 0, 130, 0, 118, 32, 3
0, 0, 131, 0, 120, 32, 1
0, 0, 140, 0, 116, 30, 3
0, 0, 129, 0, 123, 29, 2
0, 0, 150, 0, 124, 30, 1
0, 0, 131, 0, 120, 33, 2
0, 0, 128, 0, 121, 32, 3
0, 0, 126, 0, 129, 31, 1
0, 0, 141, 0, 123, 30, 2
0, 0, 130, 0, 125, 30, 2
0, 0, 127, 0, 120, 31, 2
0, 0, 136, 0, 116, 31, 1
0, 0, 132, 0, 116, 32, 0
0, 0, 136, 0, 122, 33, 0
0, 0, 139, 0, 119, 29, 2
0, 0, 132, 0, 117, 32, 1
0, 0, 131, 0, 117, 30, 2
0, 0, 140, 0, 120, 29, 1
0, 0, 131, 0, 117, 32, 2
0, 0, 129, 0, 122, 34, 1
0, 0, 120, 0, 124, 36, 0
0, 0, 128, 0, 116, 34, 1
0, 0, 125, 0, 126, 32, 0
0, 0, 120, 0, 123, 35, 0
0, 0, 124, 0, 119, 34, 1
0, 0, 126, 0, 117, 34, 2
0, 0, 123, 0, 116, 33, 1
0, 0, 123, 0, 119, 31, 2
0, 0, 127, 0, 124, 33, 2
0, 0, 138, 0, 117, 31, 2
0, 0, 136, 0, 111, 30, 2
0, 0, 129, 0, 117, 28, 2
0, 0, 120, 0, 113, 31, 3
0, 0, 132, 0, 115, 31, 2
0, 0, 120, 0, 114, 33, 3
0, 0, 130, 0, 115, 33, 3
0, 0, 123, 0, 113, 34, 2
0, 0, 119, 0, 120, 34, 2
0, 0, 124, 0, 110, 32, 2
0, 0, 124, 0, 118, 31, 3
0, 0, 132, 0, 116, 31, 3
0, 0, 125, 0, 113, 32, 3
0, 0, 132, 0, 111, 31, 3
0, 0, 120, 0, 119, 32, 3
0, 0, 126, 0, 113, 30, 2
0, 0, 120, 0, 105, 34, 2
0, 0, 120, 0, 110, 31, 2
0, 0, 129, 0, 109, 34, 2
0, 0, 135, 0, 106, 29, 2
0, 0, 124, 0, 109, 32, 1
0, 0, 126, 0, 113, 31, 1
0, 0, 121, 0, 118, 35, 1
0, 0, 133, 0, 115, 31, 1
0, 0, 112, 0, 113, 31, 2
0, 0, 126, 0, 112, 30, 2
0, 0, 111, 0, 115, 31, 4
0, 0, 113, 0, 118, 31, 3
0, 0, 125, 0, 118, 28, 3
0, 0, 112, 0, 116, 35, 3
0, 0, 121, 0, 115, 28, 4
0, 0, 122, 0, 117, 30, 3
0, 0, 109, 0, 113, 37, 3
0, 0, 118, 0, 116, 34, 3
0, 0, 127, 0, 109, 33, 3
0, 0, 115, 0, 118, 28, 4
0, 0, 117, 0, 117, 28, 3
0, 0, 117, 0, 123, 32, 3
0, 0, 112, 0, 120, 29, 3
0, 0, 114, 0, 117, 31, 2
0, 0, 129, 0, 113, 26, 2
0, 0, 121, 0, 124, 30, 2
0, 0, 122, 0, 119, 30, 2
0, 0, 120, 0, 122, 27, 2
0, 0, 110, 0, 124, 26, 2
0, 0, 120, 0, 118, 27, 2
0, 0, 115, 0, 121, 26, 3
0, 0, 108, 0, 118, 29, 2
0, 0, 116, 0, 119, 28, 2
0, 0, 131, 0, 122, 28, 3
0, 0, 118, 0, 118, 27, 3
0, 0, 115, 0, 119, 27, 3
0, 0, 119, 0, 125, 33, 2
0, 0, 111, 0, 119, 32, 2
0, 0, 123, 0, 119, 31, 3
0, 0, 125, 0, 119, 31, 3
0, 0, 119, 0, 120, 28, 3
0, 0, 116, 0, 121, 34, 2
0, 0, 118, 0, 122, 34, 3
0, 0, 113, 0, 123, 31, 3
0, 0, 127, 0, 117, 32, 2
0, 0, 120, 0, 112, 33, 4
0, 0, 114, 0, 120, 32, 3
0, 0, 113, 0, 121, 32, 4
0, 0, 122, 0, 123, 34, 3
0, 0, 122, 0, 117, 33, 3
0, 0, 117, 0, 122, 34, 2
0, 0, 124, 0, 114, 32, 5
0, 0, 130, 0, 123, 31, 2
0, 0, 138, 0, 109, 31, 2
0, 0, 131, 0, 116, 33, 4
0, 0, 116, 0, 125, 30, 3
0, 0, 132, 0, 111, 32, 2
0, 0, 123, 0, 116, 30, 2
0, 0, 138, 0, 116, 31, 4
0, 0, 134, 0, 115, 32, 2
0, 0, 122, 0, 126, 33, 1
0, 0, 131, 0, 127, 35, 2
0, 0, 129, 0, 126, 33, 1
0, 0, 123, 0, 126, 29, 1
0, 0, 140, 0, 121, 32, 3
0, 0, 135, 0, 115, 29, 4
0, 0, 138, 0, 113, 28, 2
0, 0, 141, 0, 120, 29, 1
