"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0001.tif", "G", 300, 0.0438990401196309, 1431.66666666667, 1281.52666666667, 85
"0001.tif", "G", 226, 0.0467712183930864, 268.12389380531, 739.159292035398, 0
"0001.tif", "G", 222, 0.0467446469937305, 1216.24324324324, 724.702702702703, 91
"0002.tif", "G", 2870, 0.0621403671278758, 712.550522648084, 802.667595818815, 9
"0002.tif", "G", 2882, 0.0558964759220577, 356.081193615545, 712.185981956974, 18
"0002.tif", "G", 2502, 0.0550977667813786, 1162.21502797762, 688.099120703437, 199
"0002.tif", "G", 2734, 0.0568547941654679, 479.621799561083, 699.148500365764, 60
"0002.tif", "G", 2448, 0.054850905673594, 411.724673202614, 600.673202614379, 24
"0002.tif", "G", 2328, 0.0531953472917884, 1134.34020618557, 896.991408934708, 7
"0002.tif", "G", 2094, 0.0528656424714135, 214.153772683859, 498.019102196753, 5
"0002.tif", "G", 2210, 0.0537622201370184, 574.039819004525, 612.303167420814, 1
"0002.tif", "G", 2082, 0.0531758613137548, 1080.01729106628, 1371.83669548511, 75
"0002.tif", "G", 2156, 0.0535901617825175, 1199.41001855288, 1103.19944341373, 47
"0002.tif", "G", 2142, 0.0531902843030553, 588.228758169935, 444.434173669468, 45
"0002.tif", "G", 2040, 0.0536599300824208, 997.223529411765, 769.290196078431, 122
"0002.tif", "G", 2272, 0.0528242662223777, 489.979753521127, 454.534330985916, 81
"0002.tif", "G", 1912, 0.0527400472711548, 915.100418410042, 723.110878661088, 108
"0002.tif", "G", 2450, 0.0558196209989926, 292.983673469388, 875.099591836735, 25
"0002.tif", "G", 1844, 0.0510341506890248, 1318.86117136659, 646.547722342733, 71
"0002.tif", "G", 1908, 0.0523458736935481, 1062.09119496855, 887.678197064989, 40
"0002.tif", "G", 1888, 0.0525059269500859, 1190.93855932203, 960.403601694915, 27
"0002.tif", "G", 1974, 0.0531851065529644, 516.393110435664, 1081.70111448835, 117
"0002.tif", "G", 1934, 0.051314332276334, 1387.52430196484, 379.142709410548, 146
"0002.tif", "G", 1572, 0.0511319942164784, 881.857506361323, 820.347328244275, 184
"0002.tif", "G", 1686, 0.0528267056997813, 792.41162514828, 693.960854092527, 54
"0002.tif", "G", 1722, 0.0517968648726504, 815.771196283391, 356.34262485482, 51
"0002.tif", "G", 1636, 0.0506267563336341, 1240.96699266504, 1440.96821515892, 234
"0002.tif", "G", 1414, 0.0517677649857736, 873.585572842999, 593.100424328147, 34
"0002.tif", "G", 1176, 0.0490164160694566, 986.712585034014, 1441.68367346939, 4
"0002.tif", "G", 980, 0.0497308263338185, 1389.15714285714, 1058.97755102041, 79
"0002.tif", "G", 1224, 0.0482025780088282, 114.493464052288, 879.011437908497, 64
"0002.tif", "G", 1008, 0.0494768450625158, 1313.74801587302, 725.53373015873, 8
"0002.tif", "G", 1180, 0.0508267477206959, 646.854237288136, 618.215254237288, 238
